LON, LAT
120.683525316, 31.3995157834
120.68351727, 31.3995191362
120.683507631, 31.3995231595
120.683500003, 31.3995264284
120.683491956, 31.399529865
120.683483407, 31.399533553
120.683475109, 31.3995370734
120.683466978, 31.39954051
120.683458764, 31.3995438628
120.68345055, 31.3995472994
120.683442419, 31.3995506521
120.683434205, 31.3995540887
120.683426075, 31.3995575253
120.683416184, 31.3995615486
120.683408054, 31.3995649852
120.683400007, 31.3995682541
120.683391793, 31.3995716907
120.683383578, 31.3995751273
120.683373772, 31.3995791506
120.683365641, 31.3995825034
120.683357259, 31.3995859399
120.683348794, 31.3995894603
120.68334016, 31.3995929807
120.683329934, 31.3995970879
120.683321301, 31.3996006083
120.683313925, 31.3996036258
120.68330613, 31.3996068109
120.683297915, 31.3996101636
120.683289617, 31.3996136002
120.683281235, 31.399616953
120.683271177, 31.3996211439
120.683262711, 31.3996245805
120.683254246, 31.3996280171
120.683246031, 31.399631286
120.683237817, 31.3996346388
120.683230022, 31.3996378239
120.683222143, 31.399641009
120.683211917, 31.3996451162
120.68320496, 31.399647966
120.683194902, 31.3996519893
120.68318652, 31.3996554259
120.683177803, 31.3996589463
120.683169169, 31.3996624667
120.683161458, 31.3996654842
120.683153747, 31.3996685855
120.6831457, 31.3996718545
120.683137905, 31.3996748719
120.683127679, 31.3996789791
120.683119297, 31.3996823318
120.683110412, 31.399685936
120.683101527, 31.3996894564
120.683093145, 31.399692893
120.683084764, 31.3996962458
120.683075124, 31.3997000176
120.683067245, 31.3997032028
120.683060875, 31.3997057173
120.683051571, 31.3997093216
120.683042854, 31.3997127581
120.683034388, 31.3997161109
120.683025755, 31.3997195475
120.68301687, 31.3997229841
120.683008656, 31.399726253
120.683000525, 31.3997294381
120.682992395, 31.3997326232
120.682984516, 31.3997358084
120.682975966, 31.3997391611
120.682965489, 31.3997432683
120.682957023, 31.3997465372
120.682948474, 31.39974989
120.682938751, 31.3997536618
120.682930788, 31.3997567631
120.682922238, 31.3997601159
120.682913521, 31.3997634687
120.682905056, 31.3997667376
120.68289483, 31.3997706771
120.68288804, 31.3997732755
120.682877898, 31.3997771312
120.682871277, 31.3997796457
120.682861554, 31.3997834176
120.682853255, 31.3997866027
120.682845041, 31.3997897878
120.682836492, 31.399792973
120.682827942, 31.3997963257
120.682817884, 31.3998000976
120.682809586, 31.3998032827
120.682801204, 31.3998065516
120.682794582, 31.3998090662
120.682784775, 31.3998127542
120.68277698, 31.3998157717
120.682766335, 31.399819795
120.682757366, 31.3998231478
120.682748565, 31.3998265006
120.682739513, 31.3998299371
120.682729539, 31.399833709
120.68272124, 31.3998368103
120.682713361, 31.399839744
120.682705231, 31.3998427615
120.682697101, 31.3998458628
120.682687126, 31.3998495508
120.682679834, 31.399852233
120.682669189, 31.3998562563
120.682662399, 31.3998588547
120.682652174, 31.3998626266
120.682644127, 31.3998656441
120.682635913, 31.3998686615
120.682629291, 31.3998710923
120.682619317, 31.3998747803
120.682610432, 31.3998780493
120.682601715, 31.3998813182
120.682590986, 31.3998851739
120.682584029, 31.3998877723
120.682574473, 31.3998912927
120.682566427, 31.3998942263
120.682559805, 31.3998966571
120.682549831, 31.3999002613
120.682540862, 31.3999036141
120.682532061, 31.3999067992
120.682523176, 31.399910152
120.682514207, 31.3999134209
120.682503898, 31.3999171928
120.682495348, 31.3999203779
120.682486966, 31.3999234792
120.682478584, 31.3999265805
120.682470538, 31.3999295142
120.682460815, 31.3999330346
120.682451762, 31.3999363035
120.682442961, 31.3999394886
120.682433574, 31.3999428414
120.682424521, 31.3999461103
120.682415972, 31.3999491278
120.682407338, 31.3999522291
120.682399459, 31.399955079
120.682391245, 31.3999580126
120.682380935, 31.3999617845
120.682372386, 31.3999648858
120.682363585, 31.3999680709
120.682354784, 31.399971256
120.682345899, 31.399974525
120.682337098, 31.3999776263
120.682327291, 31.3999811467
120.682320502, 31.3999835774
120.682310695, 31.399987014
120.682302313, 31.3999899477
120.682294266, 31.3999927975
120.682285968, 31.3999957312
120.682276916, 31.3999989163
120.682266271, 31.4000026882
120.682259146, 31.4000052027
120.682248501, 31.4000088908
120.68224146, 31.4000114053
120.682230983, 31.4000151772
120.682222014, 31.4000182785
120.682213129, 31.4000213798
120.682204496, 31.4000243973
120.682195863, 31.4000274986
120.682187816, 31.4000302646
120.682179434, 31.4000331983
120.682170801, 31.4000362158
120.682163844, 31.4000386465
120.682151439, 31.4000430051
120.68214247, 31.4000461064
120.682133334, 31.4000492916
120.682122102, 31.400053231
120.68211372, 31.4000561647
120.682105338, 31.4000590984
120.682096872, 31.400062032
120.682088491, 31.4000649657
120.682080109, 31.4000678994
120.682071727, 31.400070833
120.682062926, 31.4000738505
120.682054209, 31.400076868
120.682045072, 31.4000800531
