LON, LAT
120.688335959, 31.3959968756
120.688334958, 31.3959983741
120.688332954, 31.3960013713
120.688332954, 31.3960013713
120.688331952, 31.3960028698
120.68833095, 31.3960043684
120.688329948, 31.3960058669
120.688328946, 31.3960073655
120.688327844, 31.3960088639
120.688326842, 31.3960103624
120.68832584, 31.396011861
120.688324838, 31.3960133596
120.688323836, 31.3960148581
120.688322834, 31.3960163567
120.688321833, 31.3960178553
120.688320831, 31.3960193538
120.688319729, 31.3960208522
120.688318727, 31.3960223508
120.688317725, 31.3960238493
120.688316723, 31.3960253479
120.688315721, 31.3960268464
120.688314719, 31.396028345
120.688313617, 31.3960298434
120.688312615, 31.3960313419
120.688311613, 31.3960329405
120.688310611, 31.3960344391
120.688309609, 31.3960359377
120.688308507, 31.396037436
120.688307505, 31.3960389346
120.688306503, 31.3960404332
120.688305501, 31.3960419317
120.6883045, 31.3960434303
120.688303397, 31.3960449287
120.688302395, 31.3960464272
120.688301394, 31.3960479258
120.688300392, 31.3960494243
120.68829939, 31.3960509229
120.688298288, 31.3960524213
120.688297286, 31.3960539198
120.688296284, 31.3960554184
120.688295282, 31.396056917
120.68829428, 31.3960584155
120.688293178, 31.3960599139
120.688292176, 31.3960614125
120.688291174, 31.396062911
120.688290172, 31.3960644096
120.68828917, 31.3960659081
120.688288068, 31.3960674065
120.688287066, 31.3960689051
120.688286064, 31.3960704036
120.688285062, 31.3960719022
120.68828396, 31.3960734006
120.688282958, 31.3960748991
120.688281956, 31.3960763977
120.688280955, 31.3960778963
120.688279852, 31.3960793946
120.688278851, 31.3960808932
120.688277849, 31.3960823918
120.688276847, 31.3960838903
120.688275845, 31.3960853889
120.688274743, 31.3960868873
120.688273741, 31.3960883858
120.688272739, 31.3960898844
120.688271737, 31.3960913829
120.688270635, 31.3960928813
120.688269633, 31.3960943799
120.688268631, 31.3960958784
120.688267629, 31.396097377
120.688266527, 31.3960988754
120.688265525, 31.3961003739
120.688264523, 31.3961018725
120.688263521, 31.3961033711
120.688262419, 31.3961048694
120.688261417, 31.396106368
120.688260415, 31.3961078666
120.688259313, 31.396109465
120.688258311, 31.3961109635
120.688257309, 31.3961124621
120.688256308, 31.3961139607
120.688255205, 31.396115459
120.688254203, 31.3961169576
120.688253202, 31.3961184561
120.6882522, 31.3961199547
120.688251098, 31.3961214531
120.688250096, 31.3961229516
120.688249094, 31.3961244502
120.688247992, 31.3961259486
120.68824699, 31.3961274471
120.688244986, 31.3961304443
120.688244986, 31.3961304443
120.688243884, 31.3961319426
120.688242882, 31.3961334412
120.68824188, 31.3961349398
120.688240878, 31.3961364383
120.688239776, 31.3961379367
120.688238774, 31.3961394353
120.688237772, 31.3961409338
120.68823677, 31.3961424324
120.688235668, 31.3961439308
120.688234666, 31.3961454293
120.688233664, 31.3961469279
120.688232562, 31.3961484263
120.68823156, 31.3961499248
120.688230558, 31.3961514234
120.688229556, 31.3961529219
120.688228454, 31.3961544203
120.688227452, 31.3961559189
120.688225449, 31.396159016
120.688225449, 31.396159016
120.688224346, 31.3961605144
120.688223345, 31.396162013
120.688222343, 31.3961635115
120.688221241, 31.3961650099
120.688220239, 31.3961665085
120.688219237, 31.396168007
120.688218235, 31.3961695056
120.688217133, 31.396171004
120.688216131, 31.3961725025
120.688215129, 31.3961740011
120.688214027, 31.3961754994
120.688213025, 31.396176998
120.688212023, 31.3961784966
120.688211021, 31.3961799951
120.688209919, 31.3961814935
120.688208917, 31.3961829921
120.688207915, 31.3961844906
120.688206813, 31.396185989
120.688205811, 31.3961875876
120.688204809, 31.3961890862
120.688203707, 31.3961905845
120.688202705, 31.3961920831
120.688201703, 31.3961935816
120.688200701, 31.3961950802
120.688199599, 31.3961965786
120.688198597, 31.3961980771
120.688197495, 31.3961995755
120.688196493, 31.3962010741
120.688195491, 31.3962025726
120.688194389, 31.396204071
120.688193387, 31.3962055696
120.688192385, 31.3962070681
120.688191384, 31.3962085667
120.688190281, 31.3962101651
120.68818928, 31.3962116637
120.688188278, 31.3962131622
120.688187175, 31.3962146606
120.688186174, 31.3962160591
120.688185172, 31.3962175577
120.68818407, 31.3962191561
120.688183068, 31.3962206546
120.688181966, 31.396222153
120.688180964, 31.3962236516
120.688179962, 31.3962251501
120.68817886, 31.3962266485
120.688177858, 31.3962281471
120.688176856, 31.3962296456
120.688175754, 31.396231144
120.688174752, 31.3962327426
120.68817375, 31.3962342412
120.688172648, 31.3962357395
120.688171646, 31.3962372381
120.688170544, 31.3962387365
120.688169542, 31.396240235
120.68816854, 31.3962417336
120.688167438, 31.396243232
120.688166436, 31.3962447305
120.688165334, 31.3962462289
120.688164332, 31.3962477275
120.68816333, 31.396249226
120.688162228, 31.3962507244
120.688161226, 31.396252223
120.688160124, 31.3962537213
120.688159122, 31.3962552199
120.68815812, 31.3962567184
120.688157018, 31.3962583168
120.688156016, 31.3962598154
120.688154914, 31.3962613138
120.688153912, 31.3962628123
120.68815291, 31.3962643109
120.688151808, 31.3962658093
120.688150806, 31.3962673078
120.688149704, 31.3962688062
120.688148702, 31.3962703048
120.6881476, 31.3962718031
120.688146598, 31.3962733017
120.688145596, 31.3962748003
120.688144494, 31.3962762986
120.688143492, 31.3962777972
120.68814239, 31.3962792956
120.688141388, 31.3962807941
120.688140286, 31.3962822925
120.688139284, 31.3962837911
